UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
100654,58,61,60,15,18,13,14,18,12,0,0,0
100663,88,85,90,20,19,21,20,19,21,0,0,0
100706,69,73,64,23,27,19,23,27,18,0,0,0
100724,98,97,98,15,16,15,15,16,15,0,0,0
100751,77,76,77,18,19,18,18,19,18,0,0,0
100830,92,92,92,15,15,15,14,14,14,1,1,1
100858,46,48,45,24,27,22,24,27,22,0,0,0
101189,73,80,72,34,40,30,30,37,24,5,3,6
101365,93,89,94,70,75,69,12,0,13,58,75,56
101435,69,70,69,15,17,12,15,17,12,0,0,0
101453,90,100,50,89,88,100,56,50,100,33,38,0
101480,78,78,78,20,22,19,20,22,19,0,0,0
101587,43,45,41,33,33,34,33,32,34,1,1,0
101648,97,98,95,51,52,49,51,52,49,0,0,0
101693,78,78,79,19,24,18,19,24,18,0,0,0
101709,54,55,56,17,20,15,16,20,15,0,0,0
101879,87,87,88,22,23,22,20,19,20,3,3,2
101912,45,48,44,30,35,27,30,35,27,0,0,0
102049,82,79,84,29,29,29,29,29,29,0,0,0
102094,71,69,72,21,22,21,21,21,20,0,0,0
102234,77,73,79,8,10,8,8,10,8,0,0,0
102270,62,57,65,8,12,6,7,11,5,1,1,1
102298,85,83,87,3,4,2,3,4,2,0,0,0
102368,96,96,96,21,21,20,18,18,18,3,3,2
102377,49,45,50,14,20,12,14,20,12,0,0,0
102395,61,59,68,45,47,39,43,46,37,2,2,2
102632,63,80,54,75,67,82,41,40,42,34,28,40
102669,96,96,97,5,6,5,4,4,4,1,1,1
104151,90,89,91,22,22,22,22,22,22,0,0,0
104179,86,84,88,18,17,19,18,16,18,1,1,1
104586,77,77,76,24,24,22,23,24,22,0,0,0
104717,79,80,79,18,19,17,16,18,15,2,2,3
105330,90,89,90,16,17,15,15,16,15,0,0,0
105589,95,93,95,6,3,7,6,3,7,0,0,0
105899,71,70,72,36,39,38,36,39,38,0,0,0
106245,59,57,60,22,26,19,21,25,19,1,2,1
106342,63,100,100,23,100,100,23,100,100,0,0,0
106397,74,71,77,29,31,28,29,31,28,0,0,0
106412,41,38,44,15,18,13,14,17,13,1,1,1
106458,82,82,82,20,17,21,17,15,18,3,2,3
106467,96,96,96,34,35,32,32,34,30,2,2,2
106546,95,100,95,38,50,37,0,0,0,38,50,37
106704,89,88,90,35,37,33,34,37,33,0,0,0
106713,63,61,66,66,72,58,65,71,58,1,1,0
107044,71,72,70,45,45,44,44,45,43,0,0,1
107080,56,50,63,18,19,17,18,19,17,0,0,0
107141,76,78,75,31,34,29,30,34,28,1,1,1
107512,68,66,68,29,31,28,29,31,28,0,0,0
107558,60,55,62,16,19,14,16,19,14,0,0,0
107585,100,100,100,52,55,50,44,48,40,8,7,10
107877,83,80,85,29,33,27,29,33,27,0,0,0
107983,75,75,76,35,40,31,35,40,31,0,0,0
108092,80,81,80,40,45,38,36,38,35,4,7,3
108852,83,80,88,18,13,20,18,13,20,0,0,0
108861,89,80,100,50,63,38,0,0,0,50,63,38
109651,75,70,76,31,41,28,31,41,28,0,0,0
109785,88,91,87,14,15,13,14,15,13,0,0,0
110097,74,68,79,30,33,28,29,31,28,1,1,0
110361,85,83,86,24,25,23,23,25,23,0,0,0
110370,91,88,92,8,10,7,8,10,7,0,0,0
110404,3,2,4,61,64,58,61,64,58,0,0,0
110413,76,75,76,11,12,10,11,12,10,0,0,0
110422,31,27,36,25,27,23,25,27,23,0,0,0
110468,0,0,0,,,,,,,,,
110486,94,93,94,10,9,11,10,9,11,0,0,0
110495,98,98,98,19,19,19,18,18,18,1,1,1
110510,94,92,95,15,15,16,15,14,15,1,1,0
110529,75,69,82,12,15,10,12,15,10,0,0,0
110538,93,92,93,10,10,10,10,10,10,0,0,0
110547,93,92,94,9,9,10,9,9,9,1,1,1
110556,95,95,95,18,16,18,16,15,17,1,2,1
110565,91,89,92,14,15,13,14,15,13,1,1,1
110574,97,98,97,7,7,7,7,7,7,0,0,0
110583,46,42,49,17,17,16,16,17,16,0,1,0
110592,91,90,92,9,11,9,9,10,8,0,0,0
110608,93,92,94,18,19,17,18,19,17,0,0,0
110617,94,93,95,15,16,15,15,15,15,0,0,0
110635,11,9,13,46,49,44,46,49,43,0,0,0
110644,42,40,46,16,16,17,16,16,16,0,0,0
110653,29,26,31,19,19,19,19,19,19,0,0,0
110662,9,8,10,50,48,52,50,48,52,0,0,0
110671,76,72,80,12,13,12,12,12,12,0,0,0
110680,27,23,30,20,21,20,20,21,20,0,0,0
110705,33,29,36,14,13,14,14,13,14,0,0,0
110714,66,63,68,9,10,9,9,10,9,0,0,0
111081,32,33,32,28,24,27,28,24,27,0,0,0
111188,95,94,98,21,23,12,20,23,11,0,0,0
111638,43,57,40,100,100,100,100,100,100,0,0,0
111948,65,64,66,16,16,16,16,16,16,0,0,0
111966,39,20,46,4,5,3,4,5,3,0,0,0
112075,66,57,73,12,13,11,12,13,11,0,0,0
112084,31,39,27,16,27,9,16,27,9,0,0,0
112260,10,10,10,54,59,50,54,59,50,0,0,0
112394,51,51,53,42,40,49,37,35,46,5,5,2
113582,100,,100,29,,29,29,,29,0,,0
113616,41,40,43,58,50,67,58,50,67,0,0,0
113698,83,86,83,13,14,12,13,13,12,0,0,0
114813,64,66,63,17,19,16,17,19,16,0,1,0
115409,13,9,21,36,39,33,36,39,33,0,0,0
115755,98,98,98,6,6,6,6,6,5,0,0,0
117104,96,93,98,34,39,29,30,35,26,4,4,3
117140,71,67,73,10,11,9,10,11,9,0,1,0
117168,94,92,95,23,21,23,23,21,23,0,0,0
117283,55,60,50,92,100,83,75,83,67,17,17,17
117627,91,91,92,13,14,13,13,14,13,0,0,0
117751,84,81,87,46,50,42,46,50,41,0,0,0
117946,45,48,43,15,16,14,15,16,14,0,0,0
118198,63,63,64,41,38,43,18,16,19,23,22,23
118693,68,67,78,5,8,4,5,7,4,0,0,0
118888,17,17,17,15,16,14,15,16,14,0,0,0
119173,73,48,74,12,21,12,12,21,12,0,0,0
119270,78,76,82,41,42,38,33,33,32,8,9,6
119775,100,100,100,40,0,57,40,0,57,0,0,0
120166,96,93,98,6,8,4,6,8,4,0,0,0
120254,44,41,47,18,20,17,18,20,17,0,0,0
120403,82,76,84,10,14,9,10,14,9,0,0,0
120537,33,36,32,38,44,36,38,44,36,0,0,0
120661,100,100,100,68,67,68,68,67,68,0,0,0
120768,34,41,31,23,0,38,0,0,0,23,0,38
120865,47,45,49,14,13,14,14,13,14,0,0,0
120883,71,77,70,14,16,13,14,16,13,0,0,0
121150,63,65,62,12,13,11,12,13,11,0,0,0
121257,25,26,30,36,49,36,36,49,36,0,0,0
